id,timestamp,symbol,direction,confidence,baseline_outcome,confirmation_timestamp,confirmation_close,calibrated_entry,calibrated_stop,calibrated_target,risk_pct,status,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-21T10:25:21.090863+00:00_BERAUSDT_SHORT_0.2274,2026-09-21T10:25:21.090863+00:00,BERAUSDT,SHORT,81.2,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:25:36.015486+00:00_MORPHOUSDT_SHORT_2.797,2026-09-21T10:25:36.015486+00:00,MORPHOUSDT,SHORT,80.0,EXPANSION,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:25:44.914675+00:00_UBUSDT_SHORT_0.13943,2026-09-21T10:25:44.914675+00:00,UBUSDT,SHORT,87.5,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:36.584794+00:00_ARXUSDT_SHORT_0.19941,2026-09-21T10:46:36.584794+00:00,ARXUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:38.587887+00:00_BERAUSDT_SHORT_0.227,2026-09-21T10:46:38.587887+00:00,BERAUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:39.300361+00:00_BRETTUSDT_SHORT_0.0056,2026-09-21T10:46:39.300361+00:00,BRETTUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:40.782004+00:00_CAPUSDT_SHORT_0.04563,2026-09-21T10:46:40.782004+00:00,CAPUSDT,SHORT,81.2,FAIL,2026-09-21T10:55:00+00:00,0.04551,0.04551,0.045866,0.044798,0.782246,RESOLVED,FAIL,-1.0,2026-09-21T11:50:00+00:00,confirmed 5m close; calibrated execution
Bitget_2026-09-21T10:46:43.541715+00:00_DEEPUSDT_SHORT_0.01922,2026-09-21T10:46:43.541715+00:00,DEEPUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:44.585688+00:00_EGLDUSDT_SHORT_4.219,2026-09-21T10:46:44.585688+00:00,EGLDUSDT,SHORT,85.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
Bitget_2026-09-21T10:46:47.580454+00:00_GRASSUSDT_SHORT_0.36993,2026-09-21T10:46:47.580454+00:00,GRASSUSDT,SHORT,80.0,FAIL,,,,,,,SKIPPED,,,,first closed 5m confirmation did not preserve direction
