id,timestamp,close_timestamp,symbol,provider,open,high,low,close
Bitget_AVAXUSDT_2026-09-20T03:45:00+00:00,2026-09-20T03:45:00+00:00,2026-09-20T03:50:00+00:00,AVAXUSDT,Bitget,9.548,9.559,9.512,9.546
Bitget_AVAXUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,AVAXUSDT,Bitget,9.546,9.588,9.546,9.585
Bitget_KR200USDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,KR200USDT,Bitget,1086.85,1088.21,1086.85,1088.21
Bitget_MUUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,MUUSDT,Bitget,1004.69,1005.08,1004.32,1004.88
Bitget_PHAUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,PHAUSDT,Bitget,0.03514,0.03518,0.03514,0.03518
Bitget_SAMSUNGUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,SAMSUNGUSDT,Bitget,188.13,188.21,188.08,188.08
Bitget_SKHYNIXUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,SKHYNIXUSDT,Bitget,1336.27,1336.88,1335.4,1335.58
Bitget_SKHYUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,SKHYUSDT,Bitget,186.13,186.17,185.99,186.02
Bitget_SOLUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,SOLUSDT,Bitget,108.738,109.049,108.675,109.049
Bitget_WIFUSDT_2026-09-20T03:50:00+00:00,2026-09-20T03:50:00+00:00,2026-09-20T03:55:00+00:00,WIFUSDT,Bitget,0.2009,0.2018,0.2009,0.2018
